,Master US firm name,Master German firm name,in TFR-500,in Moodys 32,in Moodys 34,in Tenenbaum
28,United Shoe Machinery Corporation,Boston Blacking Company G.m.b.H.,True,False,False,False
29,Butler Brothers,"Butler Brothers, G.m.b.H.",True,False,False,False
30,Schoonmaker-Scott Company,"Butler Brothers, G.m.b.H.",True,False,False,False
31,"Hugo Stinnes Industries, Inc.",Cehapon Werk G.m.b.H.,True,False,False,False
32,Eastman Kodak Company,Chemische Werke Odin (Germany),False,True,True,False
33,Chesebrough Manufacturing Co. Consolidated,Chesebrough Manufacturing Co. G.m.b.H.,True,False,False,False
34,"The Coca-Cola Company (101 W. 10th Street Wilmington, Delaware)",Coca-Cola G.m.b.H.,True,False,False,True
35,"The Coca-Cola Export Corporation (101 W. 10th Street Wilmington, Delaware)",Coca-Cola G.m.b.H.,True,False,False,True
36,Felt & Tarrant Mfg. Co.,Comptometer G.m.b.H.,True,False,False,False
37,"B. F. Goodrich Rubber Co., Akron, Ohio",Continale Cautchoucgesellschaft,False,False,False,True
38,Crown Cork International Corporation,"Continentale Crown Cork & Seal Co., G.m.b.H., Frankenthal Germany",False,False,True,False
39,American Nickel Alloy Mfg. Corp.,Cosmo Montangesellschaft fuer metallurgische Interessen m.b.H.,True,False,False,False
40,International Telephone and Telegraph Corp.,Creed Telegraph Apparate G.m.b.H.,False,False,False,True
41,"New Jersey Industries, Inc.","Defaka, Deustche Familienkaufhaus G.m.b.H.",True,False,False,False
42,Denver Chemical Mfg. Co.,Denver Chemical Mfg. Co. G.m.b.H.,True,False,False,False
